pesquisador,especie,altura,largura
2,Sebastiania commersoniana,"81,50","17,00"
3,Sebastiania commersoniana,"90,50","17,10"
1,Sebastiania commersoniana,"127,50","17,40"
3,Sebastiania commersoniana,"39,50","12,70"
2,Sebastiania commersoniana,"49,00","10,50"
1,Sebastiania commersoniana,"86,20","18,50"
6,Sebastiania commersoniana,"98,00","17,90"
3,Sebastiania commersoniana,"75,50","17,10"
3,Sebastiania commersoniana,"55,90","17,20"
2,Sebastiania commersoniana,"140,50","20,80"
2,Sebastiania commersoniana,"85,60","16,60"
6,Sebastiania commersoniana,"75,50","14,50"
2,Sebastiania commersoniana,"35,00","12,70"
3,Sebastiania commersoniana,"106,80","17,80"
6,Sebastiania commersoniana,"58,50","16,00"
3,Sebastiania commersoniana,"82,60","17,10"
6,Sebastiania commersoniana,"94,00","18,50"
4,Sebastiania commersoniana,"56,60","14,50"
2,Sebastiania commersoniana,"96,00","22,00"
3,Sebastiania commersoniana,"125,40","22,40"
6,Siphoneugena reitzii,"91,30","17,10"
3,Siphoneugena reitzii,"68,50","10,50"
1,Siphoneugena reitzii,"61,50","16,50"
2,Siphoneugena reitzii,"72,80","17,50"
5,Siphoneugena reitzii,"85,80","17,70"
5,Syphoneugena reitzii,"70,60","17,70"
5,Syphoneugena reitzii,"52,50","13,60"
1,Syphoneugena reitzii,"55,50","13,40"
5,Syphoneugena reitzii,"106,50","15,60"
5,Syphoneugena reitzii,"108,00","17,10"
6,Syphoneugena reitzii,"60,60","12,50"
2,Syphoneugena reitzii,"52,50","14,60"
2,Syphoneugena reitzii,"63,70","15,30"
5,Syphoneugena reitzii,"78,80","15,40"
1,Syphoneugena reitzii,"30,50","9,90"
1,Syphoneugena reitzii,"47,70","14,90"
3,Syphoneugena reitzii,"134,90","19,80"
1,Syphoneugena reitzii,"64,00","15,20"
5,Syphoneugena reitzii,"42,50","11,80"
2,Syphoneugena reitzii,"38,20","10,90"
6,Syphoneugena reitzii,"132,00","16,10"
4,Syphoneugena reitzii,"37,00","11,30"
3,Syphoneugena reitzii,"53,50","17,00"
3,Syphoneugena reitzii,"81,00","16,40"
1,Syphoneugena reitzii,"101,80","16,70"
3,Syphoneugena reitzii,"161,00","19,70"
4,Syphoneugena reitzii,"62,90","15,90"
1,Syphoneugena reitzii,"34,10","11,70"
2,Syphoneugena reitzii,"79,00","14,10"
5,Syphoneugena reitzii,"60,00","13,60"
2,Syphoneugena reitzii,"40,60","14,60"
2,Syphoneugena reitzii,"82,50","17,40"
6,Syphoneugena reitzii,"112,60","17,90"
6,Syphoneugena reitzii,"50,00","13,20"
3,Syphoneugena reitzii,"64,90","13,00"
4,Syphoneugena reitzii,"72,00","16,70"
6,Syphoneugena reitzii,"85,70","16,50"
2,Vernonia discolor,"146,00","21,30"
2,Vernonia discolor,"30,90","10,10"
5,Weinmania paulliniifolia,"126,50","17,40"
1,Zanthoxylum rhoifolium,"47,40","12,50"
